Kabupaten,2019 | Umur 7-12,2020 | Umur 7-12,2021 | Umur 7-12,2019 | Umur 13-15,2020 | Umur 13-15,2021 | Umur 13-15,2019 | Umur 16-18,2020 | Umur 16-18,2021 | Umur 16-18
Merauke,95.83,97.38,95.76,97.35,97.23,97.23,77.42,78.7,81.75
Jayawijaya,90.78,90.74,89.71,89.2,89.12,88.97,72.78,72.91,80.13
Jayapura,96.36,95.92,95.95,94.7,94.63,95.23,83.75,82.25,84.32
Nabire,94.63,94.61,94.37,94.41,94.38,95.51,80.04,77.22,83.36
Kepulauan Yapen,94.69,94.67,93.78,95.9,95.03,95.12,78.06,78.73,78.86
Biak Numfor,94.77,97.62,97.5,97.49,97.96,97.47,82.48,84.96,89.11
Paniai,84.02,84.07,83.12,79.82,80.88,80.17,46.62,47.56,46.56
Puncak Jaya,77.59,77.26,75.67,65.77,65.57,65.97,39.53,32.94,37.65
Mimika,94.16,95.58,95.56,95.28,95.17,94.75,81.79,72.2,84.63
Boven Digoel,91.13,92.21,90.96,91,90.83,91,62.37,61.26,62.02
Mappi,86.1,86.91,86.49,81.01,82.06,81.69,49.7,40.93,54.32
Asmat,82.48,82.09,79.97,80.46,80.08,80.4,53.06,29.08,55.54
Yahukimo,62.57,66.18,66.19,66.15,66.04,65.52,32.92,24.08,34.16
Pegunungan Bintang,71.44,74.07,73.83,70.94,71.25,71.7,37.41,37.22,36.66
Tolikara,66.63,66.08,64.61,61.45,61.99,61.45,45.87,39.37,45.58
Sarmi,92.97,92.95,91.02,91.33,91,91.38,72.08,71.99,71.75
Keerom,90.83,90.74,89.4,89.09,88.82,88.74,74.93,70.33,77.88
Waropen,93.21,96.87,96.52,94.1,93.71,93.45,79,77.72,78.6
Supiori,94.54,96.57,96.2,91.93,92.19,92.11,77.03,76.55,76.46
Mamberamo Raya,97.41,97.41,96.44,96.11,96.27,96.57,64.91,68.94,68.88
Nduga,57.98,60.83,59.99,55.92,57.01,57.25,36.9,37.92,37.09
Lanny Jaya,77.07,77.06,77.49,74.22,75.37,75.26,60.36,60.29,60.18
Mamberamo Tengah,85.95,85.7,84.93,81.11,81.89,81.47,56.41,56.79,56.56
Yalimo,89.29,89.34,88.81,61.57,62.19,62.62,58.75,56.64,60.8
Puncak,52.21,52.22,51.61,30.44,32.43,31.98,28.2,22.55,27.71
Dogiyai,85.9,85.88,85.59,84.6,83.44,83.84,57.17,65.16,65.82
Intan Jaya,61.92,61.45,60.96,53.27,52.79,52.34,45.91,38.8,45.1
Deiyai,63.78,65.82,65.35,58.85,60.05,59.52,56,53.25,46.26
Kota Jayapura,97.76,97.75,98.03,97.94,98.07,97.69,92.78,92.21,97.12
Total,82.62,82.99,83.43,80.11,80.48,80.02,62.11,64.83,63.98
